EMP,ESTAB,old_naics,state,county,NAICS2012
0,1,445,48,003,445
0,1,4451,48,003,4451
0,1,44511,48,003,44511
0,1,445110,48,003,445110
0,3,446,48,003,446
0,3,4461,48,003,4461
0,3,44611,48,003,44611
0,3,446110,48,003,446110
90,9,447,48,003,447
90,9,4471,48,003,4471
0,8,44711,48,003,44711
0,8,447110,48,003,447110
0,1,44719,48,003,44719
0,1,447190,48,003,447190
0,2,448,48,003,448
0,1,4481,48,003,4481
0,1,44814,48,003,44814
0,1,448140,48,003,448140
0,1,4483,48,003,4483
0,1,44831,48,003,44831
0,1,448310,48,003,448310
50,3,452,48,003,452
50,3,4529,48,003,4529
50,3,45299,48,003,45299
50,3,452990,48,003,452990
18,8,453,48,003,453
11,5,4531,48,003,4531
11,5,45311,48,003,45311
11,5,453110,48,003,453110
0,2,4532,48,003,4532
0,1,45321,48,003,45321
0,1,453210,48,003,453210
0,1,45322,48,003,45322
0,1,453220,48,003,453220
0,1,4539,48,003,4539
0,1,45399,48,003,45399
0,1,453991,48,003,453991
108,12,48,48,003,48-49
89,8,484,48,003,484
0,2,4841,48,003,4841
0,1,48411,48,003,48411
0,1,484110,48,003,484110
0,1,48412,48,003,48412
0,1,484121,48,003,484121
0,6,4842,48,003,4842
0,5,48422,48,003,48422
0,5,484220,48,003,484220
0,1,48423,48,003,48423
0,1,484230,48,003,484230
0,1,485,48,003,485
0,1,4853,48,003,4853
0,1,48531,48,003,48531
0,1,485310,48,003,485310
0,2,486,48,003,486
0,1,4861,48,003,4861
0,1,48611,48,003,48611
0,1,486110,48,003,486110
0,1,4862,48,003,4862
0,1,48621,48,003,48621
0,1,486210,48,003,486210
0,1,488,48,003,488
0,1,4885,48,003,4885
0,1,48851,48,003,48851
0,1,488510,48,003,488510
0,5,51,48,003,51
0,1,511,48,003,511
0,1,5111,48,003,5111
0,1,51111,48,003,51111
0,1,511110,48,003,511110
0,1,512,48,003,512
0,1,5121,48,003,5121
0,1,51213,48,003,51213
